gp_code,gp_name,block_code,block_name,zp_code,zp_name
54806,Aabidnagar Urf Dhondhli,1571,Budhanpur Seohara,123,Bijnor
266228,Aachru Khurd,1611,Shikarpur,125,Bulandshahr
79004,Aad,1973,Kharkhoda,160,Meerut
52784,Aadalpur,1542,Baheri,121,Bareilly
79337,Aadampur,1982,Chhanvey,161,Mirzapur
51981,Aadampur Bhatpura,1531,Harakh,120,Barabanki
44282,Aadampur Uparaura,1414,Bahria,111,Prayagraj
55801,Aadpur,1583,Bisauli,124,Budaun
84470,Aagapur,2067,Chamraon,167,Rampur
79685,Aahi,1987,Majhawa,161,Mirzapur
55580,Aajamghad Urf Ratangarh,1580,Noorpur,123,Bijnor
63505,Aajampur,1712,Dhaulana,259728,Hapur
266456,Aajnothi,1953,Chhata,158,Mathura
55492,Aaku,1579,Nehtaur,123,Bijnor
68837,Aal,1800,Kuthaund,142,Jalaun
91161,Aalahaadadpur,2167,Dubepur,176,Sultanpur
274205,Aalamau,2161,Baldirai,176,Sultanpur
63928,Aalampur,1721,Devkali,137,Ghazipur
51916,Aalapur,1530,Haidargarh,120,Barabanki
63870,Aalapur,1720,Bhanwarkol,137,Ghazipur
80059,Aa. La. Sultanpur,1993,Shikhar,161,Mirzapur
55199,Aalealipur,1576,Kotwali,123,Bijnor
52227,Aalhan Mau,1534,Puredalai,120,Barabanki
52566,Aalhemau,1539,Suratganj,120,Barabanki
271221,Aaliya,1563,Kudaraha,122,Basti
55588,Aaliyapur,1580,Noorpur,123,Bijnor
266596,Aalu Pur,1680,Kamalganj,132,Farrukhabad
54530,Aama Agya Iiird,1567,Saltaua Gopal Pur,122,Basti
54529,Aama Iind,1567,Saltaua Gopal Pur,122,Basti
267887,Aama Ist,1567,Saltaua Gopal Pur,122,Basti
267040,Aama Pandey,1561,Harraiya,122,Basti
88982,Aamba,2133,Behta,174,Sitapur
89153,Aambaghat,2135,Gondlamau,174,Sitapur
89880,Aambi,2146,Pisawan,174,Sitapur
274143,Aambi,1689,Bhitaura,133,Fatehpur
81810,Aamdar,2022,Barkhera,164,Pilibhit
90634,Aamdih,297517,Karma,175,Sonbhadra
46937,Aamepur,1450,Atraulia,114,Azamgarh
56102,Aam Ganv,1588,Jagat,124,Budaun
49844,Aamghat,1496,Dubhar,117,Ballia
59319,Aam Ghat,1641,Rampur Karkhana,128,Deoria
45814,Aami,1435,Bhiti,112,Ambedkar Nagar
61432,Aamilpur,1678,Barhpur,132,Farrukhabad
52786,Aamkhera,1542,Baheri,121,Bareilly
85233,Aamki Dipchandpur Must,2076,Nagal,168,Saharanpur
67017,Aamkol,1768,Sardarnagar,139,Gorakhpur
274403,Aa MM Dharampura,1498,Hanumanganj,117,Ballia
268200,Aamrahwa,1515,Tulsipur,118,Balrampur
91843,Aanapurnarayanganj,2178,P.P.Kamaicha,176,Sultanpur
61091,Aanapur Saraiya,1673,Maya Bazar,131,Ayodhya
84658,Aanga,2069,Saidnagar,167,Rampur
91240,Aani Baijal,2168,Gauriganj,584,Amethi
89675,Aant,2143,Misrikh,174,Sitapur
62780,Aapur,1699,Eka,134,Firozabad
69539,Aara,1811,Karanja Kala,143,Jaunpur
266694,Aaraji Bhorakh,2021,Amariya,164,Pilibhit
269659,Aarangi,2158,Robertsganj,175,Sonbhadra
91162,Aardih,2167,Dubepur,176,Sultanpur
297299,Aari Khera,1998,Bilari,162,Moradabad
267322,Aarnhwa,1511,Harriya Satgharwa,118,Balrampur
49749,Aaschoora,1494,Beruarbari,117,Ballia
266302,Aa Semari,1457,Mahrajganj,114,Azamgarh
270941,Aashapur,1695,Malwan,133,Fatehpur
50309,Aasman Dhodha,1505,Reoti,117,Ballia
52703,Aaspur,1541,Aalampur Jafarabad,121,Bareilly
60147,Aaspur,1656,Sakit,129,Etah
53654,Aaspur Khera,1555,Shergarh,121,Bareilly
45206,Aata,297887,Sahson,111,Prayagraj
65649,Aata,1747,Paraspur,138,Gonda
68707,Aata,1798,Kadaura,142,Jalaun
51442,Aau,1523,Naraini,119,Banda
48164,Aavari,1467,Sathiyaon,114,Azamgarh
61433,Aawaj Pur,1678,Barhpur,132,Farrukhabad
86437,Aawsanpur,2094,Bhadohi,170,Sant Ravidas Nagar
93299,Aayar,2202,Harahua,178,Varanasi
55136,Aazmabaad,1575,Kiratpur,123,Bijnor
266636,Ababakpur,2081,Sadauli Qadeem,168,Saharanpur
297178,Ababakpur,2002,Moradabad,162,Moradabad
64413,Abadan Urf Baran,1728,Mohammadabad,137,Ghazipur
66131,Abadi Sakhani,1754,Bhathat,139,Gorakhpur
270681,Abahadpur,1809,Dobhi,143,Jaunpur
61020,Abanpur Saroha,1671,Masodha,131,Ayodhya
63122,Abbaspur,1705,Shikohabad,134,Firozabad
268799,Abbaspur,1888,Pasgawan,150,Kheri
84953,Abbha,2072,Ballia Kheri,168,Saharanpur
70280,Abbopur,1821,Shah Ganj,143,Jaunpur
56395,Abbu Nagar,1593,Sahaswan,124,Budaun
269984,Abbupur,1965,Kopaganj,159,Mau
269362,Abdalpur Albela,2102,Jalalabad,171,Shahjahanpur
45094,Abdalpur Khas,1425,Mauaima,111,Prayagraj
55200,Abdipurherbansh,1576,Kotwali,123,Bijnor
55581,Abdulapurdahana,1580,Noorpur,123,Bijnor
74677,Abdul Chak Islam,1900,Ramkola,151,Kushi Nagar
55201,Abdulfazalpurbani,1576,Kotwali,123,Bijnor
59662,Abdulhaipur,1647,Awagarh,129,Etah
56598,Abdulla Ganj,1596,Ujhani,124,Budaun
68147,Abdulla Nagar,1789,Pihani,141,Hardoi
269447,Abdullanagar Milkiya,2103,Kalan,171,Shahjahanpur
62675,Abdulla Nagar Sithiyani,1697,Vijayipur,133,Fatehpur
81325,Abdulla Nagar Urf Sonta,2013,Khatauli,163,Muzaffarnagar
62412,Abdullapur,1693,Hathgaon,133,Fatehpur
68320,Abdullapur,1792,Shahabad,141,Hardoi
85156,Abdullapur,2075,Muzaffarabad,168,Saharanpur
85234,Abdullapur,2076,Nagal,168,Saharanpur
85602,Abdullapur,2082,Sarsawan,168,Saharanpur
297284,Abdullapur,2001,Kundarki,162,Moradabad
51980,Abdulla Pur,1531,Harakh,120,Barabanki
239141,Abdullapur Basantpur Goyna,1714,Hapur,259728,Hapur
62154,Abdullapur Ghuri,1689,Bhitaura,133,Fatehpur
68838,Abdullapur Kanar,1800,Kuthaund,142,Jalaun
55202,Abdullapurkureshi,1576,Kotwali,123,Bijnor
53078,Abdullapur Mafi,1546,Bithiri Chainpur,121,Bareilly
85538,Abdullapur-Mazra Behat,2081,Sadauli Qadeem,168,Saharanpur
265479,Abdullapur Mevla,1476,Pilana,115,Baghpat
63598,Abdullapur Modi,1714,Hapur,259728,Hapur
81608,Abdullapur Urf Morj Majra,2019,Thana Bhawan,259727,Shamli
77300,Abdulnabipur,1942,Barnahal,157,Mainpuri
81494,Abdul Pur,2016,Purkaji,163,Muzaffarnagar
50077,Abdulpur Madari,1501,Nagra,117,Ballia
54961,Abdulpur Munna Urf Hadarpur,1573,Haldaur(Khari Jhalu),123,Bijnor
82654,Abdul Wahidganj,2033,Kalakankar,165,Pratapgarh
83539,Abdu Mau,2048,Chhatoh,166,Rae Bareli
85366,Abha,2078,Nanauta,168,Saharanpur
272594,Abhaeepur,1497,Garwar,117,Ballia
44283,Abhaipur,1414,Bahria,111,Prayagraj
265140,Abhai Pur,1595,Samrer,124,Budaun
76056,Abhaipura,1922,Sadabad,154,Hathras
81967,Abhaipur Chaina Nakti,2024,Bisalpur,164,Pilibhit
82161,Abhaipur J. Jagatpur,2027,Puranpur,164,Pilibhit
82163,Abhaipur Madhopur,2027,Puranpur,164,Pilibhit
82162,Abhaipur M. Shahgarh,2027,Puranpur,164,Pilibhit
46853,Abhaipur Vishesharpur,1449,Ahiraula,114,Azamgarh
52873,Abhai Rajpur,1543,Bhadpura,121,Bareilly
267763,Abhannpatti,1453,Haraiya,114,Azamgarh
80602,Abhanpur Kundarki,2001,Kundarki,162,Moradabad
80226,Abhanpur Narauli,1998,Bilari,162,Moradabad
42727,Abhaudopura,1386,Achhnera,109,Agra
87159,Abhayan,2104,Kanth,171,Shahjahanpur
69537,Abhaychand Patti,1811,Karanja Kala,143,Jaunpur
65650,Abhayipur,1747,Paraspur,138,Gonda
62554,Abhaypur,1695,Malwan,133,Fatehpur
88593,Abhaypur,2127,Lotan,173,Siddharth Nagar
266551,Abhay Pur,1680,Kamalganj,132,Farrukhabad
42776,Abhaypura,1387,Akola,109,Agra
42808,Abhaypura,1388,Bah,109,Agra
59605,Abhaypura,1646,Amanpur,577,Kasganj
60348,Abhaypura Rampur,1659,Soron,577,Kasganj
43688,Abhaypur Bahlolpur,1406,Gangiri,110,Aligarh
53141,Abhaypur Mahmoodpur,1547,Damkhauda,121,Bareilly
54753,Abhayrajpur,1570,Afzalgarh,123,Bijnor
68960,Abhedipur,1802,Maheva,142,Jalaun
52937,Abheypur Keshonpur,1544,Bhojipura,121,Bareilly
265149,Abhigaon,1590,Mion,124,Budaun
60473,Abhinaypur Pathakpur,1661,Basrehar,130,Etawah
90911,Abhiyankalan,2162,Bhadaiya,176,Sultanpur
86730,Abholi,2092,Abhauli,170,Sant Ravidas Nagar
92000,Abhusha,2182,Asoha,177,Unnao
74018,Abhyapur,1890,Ramia Behar,150,Kheri
63745,Abidpur Maniki,1717,Rajapur,136,Ghaziabad
64357,Abishan,1727,Mardah,137,Ghazipur
57205,Abrahimpur Junedpur Urf Mozpur,1608,Khurja,125,Bulandshahr
271698,Abrus,1759,Gola,139,Gorakhpur
80977,Abudullapur Leda,2006,Thakurdwara,162,Moradabad
55137,Abulfazalpur Khas,1575,Kiratpur,123,Bijnor
80894,Abu Nagar,2005,Sambhal,259726,Sambhal
265799,Abu Nasarpur,1835,Dhanaura,145,Amroha
63701,Abupur,1716,Muradnagar,136,Ghaziabad
47756,Abu Saidpur,1461,Mohammadpur,114,Azamgarh
60965,Acchora,1670,Haringatanganj,131,Ayodhya
51830,Achaicha,1529,Fatehpur,120,Barabanki
57206,Achaja Khurd,1608,Khurja,125,Bulandshahr
70561,Achakari,1825,Sujan Ganj,143,Jaunpur
269384,Achakwapur,1512,Pachpedwa,118,Balrampur
266923,Achalgarh,1929,Lakshmipur,155,Maharajganj
75706,Achalikhera,1917,Mohanlalganj,153,Lucknow
272127,Achalipur,1450,Atraulia,114,Azamgarh
47183,Achalnagar,1453,Haraiya,114,Azamgarh
56048,Achalpur,1587,Islamnagar,124,Budaun
59947,Achalpur,1652,Marehra,129,Etah
65860,Achalpur,1750,Wazirganj,138,Gonda
77429,Achalpur,1944,Ghiror,157,Mainpuri
265261,Achalpur,1657,Shitalpur,129,Etah
91427,Achal Pur,2171,Jamo,584,Amethi
50867,Achalpur Chaudhari,1513,Rehera Bazaar,118,Balrampur
50868,Achalpur Ghat,1513,Rehera Bazaar,118,Balrampur
50869,Achalpur Roop,1513,Rehera Bazaar,118,Balrampur
75357,Acharamau,1911,Bakshi-Ka-Talab,153,Lucknow
49390,Acharaura,1487,Risia,116,Bahraich
87767,Acharaura Shahpur,2116,Jamunaha,172,Shravasti
54306,Acharwal,1564,Paras Rampur,122,Basti
56599,Achaura,1596,Ujhani,124,Budaun
70737,Achausa,1828,Bamaur,144,Jhansi
51138,Achhah,1517,Baberu,119,Banda
84193,Achhai,2062,Shivgarh,166,Rae Bareli
63599,Achhaija,1714,Hapur,259728,Hapur
51195,Achharaund,1518,Badokhar Khurd,119,Banda
54202,Achhatpur,1562,Kaptanganj,122,Basti
86326,Achhawar,2093,Aurai,170,Sant Ravidas Nagar
52272,Achhechha,1535,Ramnagar,120,Barabanki
271971,Achhichhi,1456,Lalganj,114,Azamgarh
73111,Achhnia,1877,Behjam,150,Kheri
45560,Achhola Uparhar,1432,Uruwan,111,Prayagraj
73521,Achhraula,1883,Mitauli,150,Kheri
61655,Achhrora,1681,Mohamdabad,132,Farrukhabad
46238,Achhti,1440,Ram Nagar,112,Ambedkar Nagar
86040,Achhti,2088,Nath Nagar,169,Sant Kabeer Nagar
79139,Achi Khurd,1977,Parikshitgarh,160,Meerut
62356,Achintpur Pitai,1692,Haswa,133,Fatehpur
79500,Achitpur,1984,Jamalpur,161,Mirzapur
52432,Achkamau,1537,Sidhaur,120,Barabanki
270330,Achlupur,1418,Holagarh,111,Prayagraj
49253,Acholaya,1485,Phakharpur,116,Bahraich
68389,Achra Mau,1793,Sursa,141,Hardoi
266828,Achra Takipur,1682,Nawabganj,132,Farrukhabad
61737,Achriya Bakarpur,1682,Nawabganj,132,Farrukhabad
267456,Achroura,1880,Isanagar,150,Kheri
78217,Achru Ladhora,1960,Raya,158,Mathura
67850,Achuapur,1783,Hariyawan,141,Hardoi
58316,Achur Nerua,1625,Manikpur,127,Chitrakoot
81536,Adaampur,2017,Shahpur,163,Muzaffarnagar
72762,Adahara,1871,Manjhanpur,149,Kaushambi
73746,Adalabad,1886,Nighasan,150,Kheri
270955,Adalganj,2153,Chopan,175,Sonbhadra
76057,Adalpur,1922,Sadabad,154,Hathras
80525,Adalpur,2000,Dilari,162,Moradabad
80060,Adalpura,1993,Shikhar,161,Mirzapur
80448,Adalpur Jogi Siniali,1999,Chhajlet,162,Moradabad
238571,Adalpur Samdu,1834,Amroha,145,Amroha
238917,Adalpur Taj,1839,Joya,145,Amroha
48020,Adammau,1465,Phulpur,114,Azamgarh
44121,Adampur,1412,Tappal,110,Aligarh
44816,Adampur,1422,Kaurihar,111,Prayagraj
48165,Adampur,1467,Sathiyaon,114,Azamgarh
48569,Adampur,1473,Binauli,115,Baghpat
48931,Adampur,1480,Jarwal,116,Bahraich
54388,Adampur,1565,Ramnagar,122,Basti
62620,Adampur,1696,Telyani,133,Fatehpur
64934,Adampur,1736,Belsar,138,Gonda
67991,Adampur,1786,Kothawan,141,Hardoi
68212,Adampur,1790,Sandi,141,Hardoi
68448,Adampur,1794,Tandiyawan,141,Hardoi
69299,Adampur,1807,Barasathi,143,Jaunpur
69538,Adampur,1811,Karanja Kala,143,Jaunpur
78485,Adampur,1964,Ghosi,159,Mau
80227,Adampur,1996,Baniyakhera,259726,Sambhal
81575,Adampur,2018,Shamli,259727,Shamli
83416,Adampur,2045,Amawan,166,Rae Bareli
93300,Adampur,2202,Harahua,178,Varanasi
238788,Adampur,1837,Gangeshwari,145,Amroha
265276,Adampur,1915,Mal,153,Lucknow
266444,Adampur,1953,Chhata,158,Mathura
270642,Adampur,1962,Dohri Ghat,159,Mau
297207,Adampur,2000,Dilari,162,Moradabad
92397,Adampur Barethi,2189,Hasanganj,177,Unnao
92398,Adampur Bhansi,2189,Hasanganj,177,Unnao
73420,Adampur Devariya,1882,Lakhimpur,150,Kheri
75514,Adampur Mitauli,1913,Gosaiganj,153,Lucknow
81326,Adampur Mochri,2013,Khatauli,163,Muzaffarnagar
72815,Adampur Nadir Ali,1872,Mooratganj,149,Kaushambi
75471,Adampur Naubasta,1913,Gosaiganj,153,Lucknow
46153,Adampur Tindauli,1439,Katehari,112,Ambedkar Nagar
44817,Adampur Urf Madaripur,296951,Bhagwatpur,111,Prayagraj
50788,Adamtara,1512,Pachpedwa,118,Balrampur
92649,Adaoli,2193,Purwa,177,Unnao
92063,Adaora,2183,Auras,177,Unnao
49750,Adar,1494,Beruarbari,117,Ballia
51294,Adari,1520,Jaspura,119,Banda
78545,Adari,1965,Kopaganj,159,Mau
270809,Adari,1814,Machchali Shahar,143,Jaunpur
266907,Adarpur,1667,Takha,130,Etawah
56600,Adauli,1596,Ujhani,124,Budaun
57269,Adauli,1609,Lakhaothi,125,Bulandshahr
43619,Adaun,1405,Dhanipur,110,Aligarh
62055,Adawal,1687,Asothar,133,Fatehpur
76784,Adbadhwa,1934,Paniyara,155,Maharajganj
66761,Adda Moteeram,1763,Khorabar,139,Gorakhpur
267529,Addupur Dehamafi,1684,Shamsabad,132,Farrukhabad
64414,Adelabad,1728,Mohammadabad,137,Ghazipur
92169,Aderwa,2185,Bichhiya,177,Unnao
73421,Adha Chat,1882,Lakhimpur,150,Kheri
53495,Adhakata Nazrana,1553,Nawabganj,121,Bareilly
57450,Adhan,1612,Sikandrabad,125,Bulandshahr
45815,Adhanpur,1435,Bhiti,112,Ambedkar Nagar
72935,Adhaoli,1874,Sarsawan,149,Kaushambi
266744,Adharangi,1629,Baitalpur,128,Deoria
51375,Adharori,1522,Mahuva,119,Banda
83227,Adharpur,2042,Sandwa Chandrika,165,Pratapgarh
62291,Adhauli,1691,Dhata,133,Fatehpur
266122,Adhauli,1603,Bulandshahr,125,Bulandshahr
51139,Adhawan,1517,Baberu,119,Banda
60802,Adhini,1667,Takha,130,Etawah
50870,Adhinpur,1513,Rehera Bazaar,118,Balrampur
60622,Adhiyapur,1664,Jaswantnagar,130,Etawah
272000,Adhiyarawa,1433,Akbarpur,112,Ambedkar Nagar
61163,Adhiyari,1674,Milkipur,131,Ayodhya
91844,Adhiyari,2178,P.P.Kamaicha,176,Sultanpur
81811,Adhkata,2022,Barkhera,164,Pilibhit
267379,Adhkata Brahmnan,1549,Fatehganj West,121,Bareilly
52874,Adhkata Rabbni Begam,1543,Bhadpura,121,Bareilly
272331,Adhlakhia,1546,Bithiri Chainpur,121,Bareilly
80812,Adhola,2004,Panwasa,259726,Sambhal
80813,Adholi Mafi,2004,Panwasa,259726,Sambhal
49640,Adhsijhua,1491,Bairia,117,Ballia
272018,Adhurj Pur,2186,Bighapur,177,Unnao
79806,Adhwar,1989,Narainpur,161,Mirzapur
85297,Adhyana,2077,Nakur,168,Saharanpur
83573,Adilabad,2049,Dalmau,166,Rae Bareli
268337,Adilabad Bisalpur,2024,Bisalpur,164,Pilibhit
66899,Adilapar,1766,Piprauli,139,Gorakhpur
49512,Adilpur,1489,Tajwapur,116,Bahraich
60838,Adilpur,1668,Amaniganj,131,Ayodhya
72763,Adilpur,1871,Manjhanpur,149,Kaushambi
89485,Adilpur,2140,Machhrehta,174,Sitapur
91428,Adilpur,2171,Jamo,584,Amethi
48862,Adil Pur,1479,Huzoorpur,116,Bahraich
60966,Adil Pur,1670,Haringatanganj,131,Ayodhya
77985,Ading,1955,Govardhan,158,Mathura
70203,Adiyar,1820,Ram Pur,143,Jaunpur
270585,Adiyara,1734,Zamania,137,Ghazipur
60529,Adlipur,1662,Bharthana,130,Etawah
73250,Adlishpur,1879,Dhaurhara,150,Kheri
69018,Adlispura,1803,Nadigaon,142,Jalaun
88983,Admalpur,2133,Behta,174,Sitapur
93559,Admapur,2205,Sevapuri,178,Varanasi
53079,Adoopura Jagir,1546,Bithiri Chainpur,121,Bareilly
242780,Adra,1527,Dariyabad,120,Barabanki
272113,Adraspur,1461,Mohammadpur,114,Azamgarh
74678,Adrauna,1900,Ramkola,151,Kushi Nagar
57602,Adsar Jagdishpur,1615,Berahani,126,Chandauli
88908,Advenia Grant,2132,Ailiya,174,Sitapur
75132,Adwaha,1907,Jakhaura,152,Lalitpur
90103,Adwari,2149,Sakran,174,Sitapur
55046,Aehroala,1574,Jalilpur,123,Bijnor
67539,Aeja,1778,Bawan,141,Hardoi
51376,Aela,1522,Mahuva,119,Banda
87714,Aelahwa,2115,Hariharpur Rani,172,Shravasti
87079,Aelam Nagar,2102,Jalalabad,171,Shahjahanpur
272429,Aema,1786,Kothawan,141,Hardoi
54003,Aenpur,1560,Gaur,122,Basti
68213,Aera Bhadar,1790,Sandi,141,Hardoi
67660,Aere Kakemau,1780,Bharawan,141,Hardoi
71856,Afasariya,1854,Rajpur,147,Kanpur Dehat
87063,Afatiapur,2102,Jalalabad,171,Shahjahanpur
45614,Afjalpur,1433,Akbarpur,112,Ambedkar Nagar
55990,Afjalpur,1586,Gunnaur,259726,Sambhal
72572,Afjalpur,1867,Vidhunu,148,Kanpur Nagar
72652,Afjalpur Shanton,1869,Kara,149,Kaushambi
78920,Afjalpur Urf Raninagla,1971,Hastinapur,160,Meerut
61944,Afoi,1685,Airayan,133,Fatehpur
89960,Afsariya,2147,Rampur Mathura,174,Sitapur
89738,Afsariya Hussainpur,2144,Pahala,174,Sitapur
272041,Aftab Nagar,2049,Dalmau,166,Rae Bareli
91923,Afuia,2180,Shahgarh,584,Amethi
59876,Afzalpur,1651,Kasganj,577,Kasganj
63675,Afzalpur,1715,Loni,136,Ghaziabad
270047,Afzalpur Baldani,1580,Noorpur,123,Bijnor
266113,Afzalpur Budheti,1584,Dahgavan,124,Budaun
56396,Afzalpur Chhaganpur,1593,Sahaswan,124,Budaun
80814,Afzalpur Darawli,2004,Panwasa,259726,Sambhal
238722,Afzalpur Loot,1836,Gajraula,145,Amroha
84469,Afzalpur Patti,2067,Chamraon,167,Rampur
78962,Afzalpur Pawati,1972,Janikhurd,160,Meerut
72988,Afzalpur Wari,1875,Sirathu,149,Kaushambi
51692,Agaanpur,1527,Dariyabad,120,Barabanki
52273,Agaanpur,1535,Ramnagar,120,Barabanki
53706,Agaee Bhagan,1556,Bahadurpur,122,Basti
90811,Agahar,2160,Amethi,584,Amethi
47392,Agahata,1456,Lalganj,114,Azamgarh
45207,Agahua,1427,Phulpur,111,Prayagraj
69765,Agahuwa,1814,Machchali Shahar,143,Jaunpur
82838,Agai,2036,Lalganj,165,Pratapgarh
91624,Agai,2174,Kurwar,176,Sultanpur
75735,Agaiya,1917,Mohanlalganj,153,Lucknow
89552,Agaiya,2141,Mahmudabad,174,Sitapur
68321,Agampur Dhurhai,1792,Shahabad,141,Hardoi
266406,Aganpura,1957,Mathura,158,Mathura
48999,Agapur,1481,Kaisarganj,116,Bahraich
64337,Agapur,1726,Manihari,137,Ghazipur
72407,Agapur,1864,Patara,148,Kanpur Nagar
84540,Agapur,2068,Milak,167,Rampur
85817,Agapur Gulariha,2085,Hainsar Bazar,169,Sant Kabeer Nagar
68322,Agapur Sardar,1792,Shahabad,141,Hardoi
61164,Agaraba,1674,Milkipur,131,Ayodhya
57451,Agarai,1612,Sikandrabad,125,Bulandshahr
58317,Agarhunda,1625,Manikpur,127,Chitrakoot
79807,Agarsand,1989,Narainpur,161,Mirzapur
49959,Agarsanda,1498,Hanumanganj,117,Ballia
77853,Agaryala,1952,Chaumuha,158,Mathura
52150,Agasand,1533,Nindaura,120,Barabanki
57668,Agastipur,1616,Chahniya,126,Chandauli
269616,Agathua,1676,Sohawal,131,Ayodhya
55680,Agaul,1581,Ambiapur,124,Budaun
67851,Agaulapur,1783,Hariyawan,141,Hardoi
53707,Agauna,1556,Bahadurpur,122,Basti
84282,Agauna,2064,Tiloi,584,Amethi
87392,Agauna Bujurg,2110,Powayan,171,Shahjahanpur
59520,Agaunapur,1645,Aliganj,129,Etah
56812,Agaura Amirpur,1601,Araniya,125,Bulandshahr
66837,Agaya,1765,Pipraich,139,Gorakhpur
267594,Agaya,2130,Shoharatgarh,173,Siddharth Nagar
50939,Agaya Bujurg,1514,Shriduttganj,118,Balrampur
297480,Agaya Bujurg,1735,Babhanjot,138,Gonda
50940,Agaya Khurd,1514,Shriduttganj,118,Balrampur
88126,Agaya Khurd,2121,Birdpur,173,Siddharth Nagar
64985,Agaya Mafi,1737,Chhapia,138,Gonda
92828,Agehra,2196,Sikandarpur Sarausi,177,Unnao
56700,Ageyee,1598,Wazirganj,124,Budaun
87838,Aggapur,2117,Sirsiya,172,Shravasti
73958,Aggar Buzurg,1889,Phoolbehar,150,Kheri
73959,Aggar Khurd,1889,Phoolbehar,150,Kheri
269345,Aghaila,1634,Bhatni,128,Deoria
77480,Aghar,1945,Jageer,157,Mainpuri
46796,Aghara,1448,Sahar,113,Auraiya
79723,Aghauli,1988,Nagar (City),161,Mirzapur
83706,Aghaura,2052,Harchandpur,166,Rae Bareli
267222,Aghaw,1630,Bankata,128,Deoria
82707,Aghiya,2034,Kunda,165,Pratapgarh
79724,Aghwar,1988,Nagar (City),161,Mirzapur
86173,Agiauna,2090,Santha,169,Sant Kabeer Nagar
72764,Agiyouna,1871,Manjhanpur,149,Kaushambi
84861,Aglaga,2071,Suar,167,Rampur
60349,Agoli Kiramai,1659,Soron,577,Kasganj
269796,Agora,1909,Mehroni,152,Lalitpur
43824,Agorana,1408,Iglas,110,Aligarh
75251,Agori,1909,Mehroni,152,Lalitpur
90316,Agori Khas,2153,Chopan,175,Sonbhadra
57105,Agota,1599,Agauta,125,Bulandshahr
71420,Agous,1847,Umarda,146,Kannauj
73960,Agra,1889,Phoolbehar,150,Kheri
76231,Agrana Jarara,1925,Sikandrarao,154,Hathras
45208,Agra Patti,1427,Phulpur,111,Prayagraj
53270,Agras,1549,Fatehganj West,121,Bareilly
56049,Agras,1587,Islamnagar,124,Budaun
238852,Agraula Kalan,1838,Hasanpur,145,Amroha
87012,Agrauli,2101,Jaitipur,171,Shahjahanpur
69216,Agraura,1806,Baksha,143,Jaunpur
90974,Agresar,2163,Bhadar,584,Amethi
54962,Agri,1573,Haldaur(Khari Jhalu),123,Bijnor
47683,Agsara Mustfabad,1460,Mirzapur,114,Azamgarh
76232,Agsauli,1925,Sikandrarao,154,Hathras
60474,Agupur Gopalpur,1661,Basrehar,130,Etawah
64009,Agusta Salamatpur,1722,Ghazipur,137,Ghazipur
57207,Agwal,1608,Khurja,125,Bulandshahr
85603,Agwan Khera,2082,Sarsawan,168,Saharanpur
79140,Agwanpur,1977,Parikshitgarh,160,Meerut
42930,Agwar Khas,1391,Etmadpur,109,Agra
71971,Agwasi,1856,Sandalpur,147,Kanpur Dehat
76487,Agya,1930,Mahrajganj,155,Maharajganj
76925,Agya,1936,Pharenda,155,Maharajganj
86236,Agya,2091,Semariyawan,169,Sant Kabeer Nagar
88161,Agyaa,2122,Domariyaganj,173,Siddharth Nagar
81812,Agyari,2022,Barkhera,164,Pilibhit
91429,Ahad,2171,Jamo,584,Amethi
91755,Ahada,2176,Motigarpur,176,Sultanpur
45615,Ahaitha,1433,Akbarpur,112,Ambedkar Nagar
43887,Ahak,1409,Jawan,110,Aligarh
83669,Ahal,2051,Dih,166,Rae Bareli
77516,Ahaladpur,1946,Karhal,157,Mainpuri
58551,Ahaladpur Markari,1629,Baitalpur,128,Deoria
48650,Ahamadnagar,1475,Khekra,115,Baghpat
56745,Ahamad Nagar Urf Touli,1600,Anupshahr,125,Bulandshahr
69912,Ahamadpur,1816,Mariyahu,143,Jaunpur
70438,Ahamadpur,1823,Sirkoni,143,Jaunpur
77460,Ahamadpur,1944,Ghiror,157,Mainpuri
78162,Ahamadpur,1959,Nohjhil,158,Mathura
81609,Ahamadpur,2019,Thana Bhawan,259727,Shamli
91955,Ahamadpur,2181,Shukul Bazar,584,Amethi
272217,Ahamadpur,2191,Mianganj,177,Unnao
274112,Ahamadpur,1689,Bhitaura,133,Fatehpur
43406,Ahamadpura,1402,Atrauli,110,Aligarh
270854,Ahamadpur Gariyaon,1818,Mungra Badshah Pur,143,Jaunpur
48470,Ahamadpur Gathina,1471,Baghpat,115,Baghpat
92064,Ahamad Pur Kasimpur,2183,Auras,177,Unnao
62292,Ahamadpur Kusumbha,1691,Dhata,133,Fatehpur
62895,Ahamadpur Madha,1701,Hathwant,134,Firozabad
71230,Ahamadpur Rauni,1844,Kannauj,146,Kannauj
48471,Ahamadshahpur Padra,1471,Baghpat,115,Baghpat
53496,Ahamdabad,1553,Nawabganj,121,Bareilly
84659,Ahamdabad,2069,Saidnagar,167,Rampur
92280,Ahamdabad Mathar,2187,Fatehpur Chaurasi,177,Unnao
92281,Ahamdabad Sen Nagar,2187,Fatehpur Chaurasi,177,Unnao
47684,Ahamdbad,1460,Mirzapur,114,Azamgarh
92062,Ahamdpur Faijula Nagar,2183,Auras,177,Unnao
69999,Ahan,1817,Mufti Ganj,143,Jaunpur
51140,Ahar,1517,Baberu,119,Banda
75981,Aharai,1921,Mursan,154,Hathras
59767,Aharai Bichanpur,1649,Jaithara,129,Etah
